ID,Practice Name,Doctor / Owner,City,State,Phone,Email,Website,Hook
US-DEN-001,"Page Dental Group","Dr. Page","Dallas","TX","(214) 692-7499","hello@pagedental.com","https://www.pagedental.com","Dallas, TX • High-rated cosmetic & family dentistry"
US-DEN-002,"Dental Care of Austin","Dr. Eamon Bizra","Austin","TX","(512) 955-5500","dentalcareofaustin@gmail.com","https://www.dentalcareofaustin.com","Austin, TX • South Lamar implant & general dental care"
US-DEN-003,"RC Dental Clinic","Dr. Rene E. Cabrera","Miami","FL","(305) 596-0322","rcdentalclinics@gmail.com","https://www.rcdentalclinics.com","Miami, FL • Kendall dental & emergency triage"
US-DEN-004,"Dr. J Dental & Associates","Dr. Juan Jamis","Miami","FL","(305) 259-0080","info@drjdental.net","https://www.drjjdental.com","Miami, FL • Family & cosmetic dental care"
US-DEN-005,"Dental World of Miami","Dr. Morales","Miami","FL","(305) 505-4100","info@dentalworldmiami.com","https://www.dentalworldmiami.com","Miami, FL • 24/7 emergency dental & ortho"
US-DEN-006,"My Dentist in Austin","Dr. Christine Hervas","Austin","TX","(512) 454-5219","contact@mydentistaustin.com","https://www.mydentistaustin.com","Austin, TX • Central Austin preventive & restorative care"
US-DEN-007,"Breeze Dental Care","Dr. Tarek Sirage","Austin","TX","(512) 670-3888","info@breezeoralcare.com","https://www.breezeoralcare.com","Austin, TX • Modern sedation & laser dentistry"
US-DEN-008,"Dallas Dental Group","Dr. Jack Miller","Dallas","TX","(972) 644-1998","appointments@dallasdental.com","https://www.dallasdental.com","Dallas, TX • North Dallas premier restorative center"
US-DEN-009,"Fresh Dental Care Houston","Dr. Sarah Jenkins","Houston","TX","(713) 781-6100","info@freshdentalcare.com","https://www.freshdentalcare.com","Houston, TX • Galleria dental & emergency appointments"
US-DEN-010,"Caring Dentistry of Houston","Dr. Benjamin Cavenaugh","Houston","TX","(713) 621-5080","contact@caringdentistryofhouston.com","https://www.caringdentistryofhouston.com","Houston, TX • Comprehensive dental & sleep apnea"
US-DEN-011,"Dental Solutions of Miami","Dr. Carlos Gomez","Miami","FL","(305) 598-9072","frontdesk@dentalsolutionsmiami.com","https://www.dentalsolutionsmiami.com","Miami, FL • Doral area full-mouth rehabilitation"
US-DEN-012,"Tampa Dental Arts","Dr. Angela Torres","Tampa","FL","(813) 879-1704","info@tampadentalarts.com","https://www.tampadentalarts.com","Tampa, FL • South Tampa cosmetic & invisalign"
US-DEN-013,"Orlando Family Dental","Dr. Michael Chen","Orlando","FL","(407) 859-9999","care@orlandofamilydental.com","https://www.orlandofamilydental.com","Orlando, FL • Metro West preventive & urgent dental care"
US-DEN-014,"Preston Hollow Dental","Dr. Bradley Jones","Dallas","TX","(214) 368-3888","office@prestonhollowdental.com","https://www.prestonhollowdental.com","Dallas, TX • Preston Hollow luxury restorative dentistry"
US-DEN-015,"Westlake Smiles Austin","Dr. Laura Adams","Austin","TX","(512) 328-3000","hello@westlakesmilesaustin.com","https://www.westlakesmilesaustin.com","Austin, TX • Westlake Hills cosmetic & family dentistry"
US-DEN-016,"Memorial Oral & Dental Houston","Dr. David Roberts","Houston","TX","(713) 464-6200","info@memorialdentalhouston.com","https://www.memorialdentalhouston.com","Houston, TX • Memorial area surgical & root canal center"
US-DEN-017,"Brickell Dental Care","Dr. Sofia Almonte","Miami","FL","(305) 779-7770","admin@brickelldentalcare.com","https://www.brickelldentalcare.com","Miami, FL • Downtown Brickell executive dental office"
US-DEN-018,"Bayshore Dental Tampa","Dr. Kevin Patel","Tampa","FL","(813) 254-2273","bayshoredental@gmail.com","https://www.bayshoredentaltampa.com","Tampa, FL • Hyde Park / Bayshore dental studio"
US-DEN-019,"Highland Park Dental","Dr. Gregory Allen","Dallas","TX","(214) 521-3730","info@highlandparkdental.com","https://www.highlandparkdental.com","Dallas, TX • Highland Park premier aesthetic clinic"
US-DEN-020,"Domain Dental Austin","Dr. Rachel Kim","Austin","TX","(512) 835-9000","team@domaindentalatx.com","https://www.domaindentalatx.com","Austin, TX • North Austin tech corridor dental studio"
US-DEN-021,"Uptown Houston Smiles","Dr. Marcus Vance","Houston","TX","(713) 552-0777","smile@uptownhoustonsmiles.com","https://www.uptownhoustonsmiles.com","Houston, TX • Post Oak & Uptown luxury dental boutique"
US-DEN-022,"Coral Gables Dental Health","Dr. Eduardo Silva","Miami","FL","(305) 444-2101","contact@coralgablesdentalhealth.com","https://www.coralgablesdentalhealth.com","Miami, FL • Coral Gables periodontics & implants"
US-DEN-023,"St. Pete Beach Dental","Dr. Kimberly Wright","Tampa","FL","(727) 360-6000","office@stpetedentalcare.com","https://www.stpetedentalcare.com","St. Petersburg, FL • Coastal comprehensive dental"
